For iterations: 2400 Initial energy of demon: 10000
1400,1400
1401,1396
1402,1388
1403,1380
1404,1376
1405,1372
1406,1364
1407,1356
1408,1348
1409,1356
1410,1356
1411,1348
1412,1344
1413,1336
1414,1328
1415,1320
1416,1316
1417,1308
1418,1308
1419,1304
1420,1296
1421,1296
1422,1304
1423,1296
1424,1288
1425,1284
1426,1276
1427,1268
1428,1260
1429,1256
1430,1264
1431,1256
1432,1248
1433,1244
1434,1244
1435,1236
1436,1240
1437,1244
1438,1244
1439,1248
1440,1240
1441,1244
1442,1236
1443,1228
1444,1228
1445,1224
1446,1232
1447,1224
1448,1220
1449,1212
1450,1208
1451,1216
1452,1208
1453,1200
1454,1192
1455,1184
1456,1184
1457,1192
1458,1192
1459,1184
1460,1180
1461,1172
1462,1164
1463,1160
1464,1156
1465,1152
1466,1144
1467,1140
1468,1132
1469,1124
1470,1128
1471,1120
1472,1116
1473,1108
1474,1112
1475,1108
1476,1104
1477,1096
1478,1092
1479,1092
1480,1084
1481,1076
1482,1072
1483,1064
1484,1060
1485,1056
1486,1048
1487,1044
1488,1040
1489,1040
1490,1032
1491,1024
1492,1016
1493,1012
1494,1004
1495,1004
1496,996
1497,988
1498,992
1499,1000
1500,996
1501,988
1502,996
1503,988
1504,980
1505,972
1506,968
1507,976
1508,980
1509,976
1510,968
1511,964
1512,972
1513,964
1514,956
1515,948
1516,940
1517,932
1518,928
1519,924
1520,920
1521,912
1522,904
1523,900
1524,892
1525,896
1526,904
1527,896
1528,888
1529,880
1530,876
1531,872
1532,868
1533,864
1534,860
1535,860
1536,856
1537,848
1538,840
1539,848
1540,848
1541,844
1542,844
1543,840
1544,844
1545,840
1546,840
1547,836
1548,832
1549,824
1550,820
1551,812
1552,812
1553,808
1554,804
1555,796
1556,788
1557,780
1558,772
1559,776
1560,776
1561,772
1562,764
1563,760
1564,760
1565,752
1566,748
1567,744
1568,736
1569,728
1570,720
1571,716
1572,712
1573,708
1574,700
1575,692
1576,684
1577,680
1578,672
1579,664
1580,656
1581,664
1582,660
1583,652
1584,648
1585,644
1586,640
1587,644
1588,636
1589,632
1590,628
1591,620
1592,616
1593,608
1594,608
1595,608
1596,600
1597,592
1598,592
1599,584
1600,592
1601,584
1602,588
1603,584
1604,576
1605,576
1606,568
1607,560
1608,568
1609,576
1610,572
1611,576
1612,584
1613,580
1614,572
1615,572
