0.025,0.0375,,,,0.975,0.025,,
0.0375,0.05,,,,0.025,0.9625,,
0.05,0.0625,,,,0.9625,0.0375,,
0.0625,0.075,,,,0.0375,0.95,,
0.075,0.0875,,,,0.95,0.05,,
0.0875,0.1,,,,0.05,0.9375,,
0.1,0.1125,,,,0.9375,0.0625,,
0.1125,0.125,,0.999666858363225,,0.0625,0.925,,-0.999875264981318
0.125,0.1375,,,,0.925,0.075,,
0.1375,0.15,,,,0.075,0.9125,,
0.15,0.1625,,,,0.9125,0.0875,,
0.1625,0.175,,,,0.0875,0.9,,
0.175,0.1875,,,,0.9,0.1,,
0.1875,0.2,,,,0.1,0.8875,,
0.2,0.2125,,,,0.8875,0.1125,,
0.2125,0.225,,,,0.1125,0.875,,
0.225,0.2375,,,,0.875,0.125,,
0.2375,0.25,,,,0.125,0.8625,,
0.25,0.2625,,,,0.8625,0.1375,,
0.2625,0.275,,,,0.1375,0.85,,
0.275,0.2875,,,,0.85,0.15,,
0.2875,0.3,,,,0.15,0.8375,,
0.3,0.3125,,,,0.8375,0.1625,,
0.3125,0.325,,,,0.1625,0.825,,
0.325,0.3375,,,,0.825,0.175,,
0.3375,0.35,,,,0.175,0.8125,,
0.35,0.3625,,,,0.8125,0.1875,,
0.3625,0.375,,,,0.1875,0.8,,
0.375,0.3875,,,,0.8,0.2,,
0.3875,0.4,,,,0.2,0.7875,,
0.4,0.4125,,,,0.7875,0.2125,,
0.4125,0.425,,,,0.2125,0.775,,
0.425,0.4375,,,,0.775,0.225,,
0.4375,0.45,,,,0.225,0.7625,,
0.45,0.4625,,,,0.7625,0.2375,,
0.4625,0.475,,,,0.2375,0.75,,
0.475,0.4875,,,,0.75,0.25,,
0.4875,0.5,,,,0.25,0.7375,,
0.5,0.5,,,,0.7375,0.2625,,
0.5,0.5,,,,0.2625,0.725,,
0.5,0.5,,,,0.725,0.275,,
0.5,0.5,,,,0.275,0.7125,,
0.5,0.5,,,,0.7125,0.2875,,
0.5,0.5,,,,0.2875,0.7,,
0.5,0.5,,,,0.7,0.3,,
0.5,0.5,,,,0.3,0.6875,,
0.5,0.5,,,,0.6875,0.3125,,
0.5,0.5,,,,0.3125,0.675,,
0.5,0.5,,,,0.675,0.325,,
,,,,,0.325,0.6625,,
,,,,,0.6625,0.3375,,
,,,,,0.3375,0.65,,
,,,,,0.65,0.35,,
,,,,,0.35,0.6375,,
,,,,,0.6375,0.3625,,
,,,,,0.3625,0.625,,
,,,,,0.625,0.375,,
,,,,,0.375,0.6125,,
,,,,,0.6125,0.3875,,
,,,,,0.3875,0.6,,
,,,,,0.6,0.4,,
,,,,,0.4,0.5875,,
,,,,,0.5875,0.4125,,
,,,,,0.4125,0.575,,
,,,,,0.575,0.425,,
,,,,,0.425,0.5625,,
,,,,,0.5625,0.4375,,
,,,,,0.4375,0.55,,
,,,,,0.55,0.45,,
,,,,,0.45,0.5375,,
,,,,,0.5375,0.4625,,
,,,,,0.4625,0.525,,
,,,,,0.525,0.475,,
,,,,,0.475,0.5125,,
,,,,,0.5125,0.4875,,
,,,,,0.4875,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
,,,,,0.5,0.5,,
